"new_tags","ntext"
"aanplakking",11
"aanvullende inventarisstukken",5
"actueel belang",10
"adviesorgaan",2
"afstand van geding",221
"afwerkingsregel",14
"afzonderlijke regeling voor registratiebeslissingen",1
"aktename melding",2
"andersluidend psaverslag",162
"anticipatieve weigering",1
"antwoordnota laattijdig",3
"belang bij het middel",145
"beleidsmatig gewenste ontwikkeling",14
"beleidsvisie",1
"beoordelingskader in principe niet van toepassing op aktenames meldingen",1
"beperkte aanpassing",1
"beperkte afwijking",17
"beschikkend gedeeltenieuwe rechtstechnieken",1841
"bestuurlijke lus afgewezen",3
"betrekt motivering bb niet in grieven",1
"betrokken publiek",10
"bevoegdheid",32
"bevoegdheid raad",32
"bindend advies",8
"bouwdichtheid",3
"burgerlijke rechten",14
"causaal verband",9
"correct begroot",1
"criteria en aandachtspunten niet uitputtend geregeld",1
"derdebelanghebbende belanghebbende derde",126
"devolutieve werking",17
"dezelfde bestreden beslissing",1
"dossiersamenstelling",21
"eigendomstitel niet vereist",3
"erfgoedwaarde",3
"exceptie in lsu",1
"exceptie onontvankelijk",89
"excepties",106
"formele motiveringsplicht",27
"gebrek aan een ontvankelijk middel",15
"geen advocaat",3
"geen afwijking",1
"geen aparte screeningsparagraaf vereist",2
"geen belang",7
"geen beslissing om in rechte te treden vereist",2
"geen middelen",14
"geen rechtstreeks causaal verband vereist",1
"geen verantwoordingsnota",33
"geen wettigheidskritiek",45
"gegevens uit het hele verzoekschrift",7
"gelijkheidsbeginsel",10
"gelijkluidende middelen",1
"geluidshinder",7
"gemeentelijk beleid",2
"gezag van gewijsde",27
"gro",115
"groenscherm",4
"habitattoets",5
"had reeds in verzoekschrift kunnen gevoegd worden",1
"hemelwaterverordening",12
"herstelbeslissing",70
"hinderaspecten",16
"hoogdringendheid",60
"in beginsel niet toegelaten",1
"in principe enkel vernietigingsbevoegdheid",4
"indeplaatsstelling",31
"interactie met burgerlijke procesvoering",1
"kennelijk onredelijk beoordeeld",2
"kosten",107
"lawaaihinder",3
"leemte in de aanvraag",1
"lichthinder",1
"louter voor bouwen",1
"loutere opportuniteitskritiek",78
"loutere stijlformule",5
"machtsafwending",3
"machtsoverschrijding",2
"merscreening",24
"middel afdoende duidelijk",16
"mobiliteit",14
"motiveringsgebrek niet aangetoond",3
"niet afdoende gemotiveerd",66
"niet alle bewijsstukken beoordeeld",1
"niet kennelijk onredelijk",47
"niet ontvankelijk",4
"niet relevant voor beoordeling",2
"niet vooruitlopen op herbeoordeling",10
"nieuwe inhoudelijke beoordeling vereist",2
"omzendbrief",10
"onderzoek ligging",1
"ongegrond",470
"onmiddellijke omgeving",6
"onontvankelijk",335
"ontvankelijk",6
"ontvankelijkheid middel",329
"ontvankelijkheid tsk",7
"ontvankelijkheid tussenkomst",404
"ontvankelijkheid verzoekschrift",274
"onvolledig aanvraagdossier",3
"oordeel berust op onjuiste gegevens",2
"opsplitsing niet principieel verboden",1
"opstart bemiddeling",9
"parkeerstudie",1
"planaanpassing",42
"privacyhinder",12
"raad niet bevoegd inzake wettigheid beslissing in eerste administratieve aanleg",3
"regelmatigheid van de rechtspleging",28
"registratiebeslissing",10
"rekening houden met vaststellingen omtrent niet betwiste burgerlijke rechten",2
"relevante criteria en aandachtspunten niet afdoende beoordeeld",3
"relevante omgeving",32
"rolrechten",1
"rpv",50
"ruimtegebruik",4
"ruimtelijk beperkte impact",1
"schaal",13
"screeningsnota",2
"stadsontwikkelingsproject",22
"stedenbouwkundige voorschriften",10
"stelplicht",50
"su niet tijdig",1
"ten gronde",812
"tijdigheid",14
"toets aan de criteria",1
"tsk niet gehouden tot rpv",2
"tussenarrest",41
"uit de debatten geweerd",10
"uitzondering private wegenis",1
"verantwoordingsnota",8
"verantwoordingsnota betreft geen regularisatiemogelijkheid",2
"verkavelingsvergunningsplicht",31
"verkavelingsvoorschriften",5
"verkorte procedures",48
"vermoeden van vergunning",19
"vernietiging",721
"vernietiging verworpen",310
"vertegenwoordiging door advocaat",1
"vertrouwensbeginsel",36
"verval rechtsgrond",4
"verzaking aan de vergunning",46
"verzwaarde motiveringsplicht",72
"visueelvormelijk",2
"visuele hinder",41
"voldoende uitgeruste weg",5
"voortzetting",1
"voorwaarden afdoende precies",4
"vztsk niet geregulariseerd",1
"watertoets",44
"weg niet vergund voorafgaand aan stedenbouwkundige vergunning",2
"woongebied",4
"woongenot",2
"woonkwaliteit",2
"woonparkgebied",2
"zaak van de wegen",2
"zorgplicht",6
"zorgvuldigheidsbeginsel",20
