"Nr_Arrest","naam","Trefwoorden"
"1516/0366","Annelore","Vernietiging Vervanging terras "
"1516/0366","Annelore","Motiveringsplicht "
"1516/0366","Annelore","Hoofdzakelijk vergund karakter "
"1516/0366","Annelore","Bezwaar niet afdoende beantwoord (zeer streng beoordeeld)"
"1516/0546","Mieke","Afstand Opheffing schorsing"
"1516/0651","Sacha","OngegrondAfstand tussenkomstVordering CBS "
"1516/0651","Sacha","Bijzondere procedure "
"1516/0651","Sacha","Tijdig adviesAardgasleiding "
"1516/0651","Sacha","Artikel 3, §2 Besluit 5 mei 2000 "
"1516/0651","Sacha","Algemeen belang "
"1516/0651","Sacha","Bedrijventerrein (navigator)Beoordeling goede RO "
"1516/0651","Sacha","Alternatievenonderzoek "
"1516/0651","Sacha"," Opportuniteitskritiek "
"1516/0651","Sacha","Motivering afdoende"
"1516/0689","Katrien V.","VernietigingBeperkte planaanpassing "
"1516/0689","Katrien V.","Wijziging terrassen "
"1516/0689","Katrien V.","Rechten van derden "
"1516/0689","Katrien V.","PSA-verslag "
"1516/0689","Katrien V.","Leemte in aanvraagdossier Goede RO "
"1516/0689","Katrien V.","Afwijkend gabariet "
"1516/0689","Katrien V.","Andersluidend PSA-verslag "
"1516/0689","Katrien V.","Reliëf "
"1516/0689","Katrien V.","Niet afdoende onderzocht"
"1516/0704","Sacha","VernietigingVerkavelingsvergunning "
"1516/0704","Sacha","Private vs. publieke wegenis "
"1516/0704","Sacha","Beslissing gemeenteraad vereist (navigator)Voorschriften te algemeen (navigator) "
"1516/0704","Sacha","Beeldkwaliteitsplan niet verordenend Nieuw PSA-verslag niet ter kennis gebracht "
"1516/0704","Sacha","Belang bij het middel in hoofde van CBS "
"1516/0704","Sacha","Hoorplicht"
"1516/0706","Katrien V.","VernietigingWeigeringsbeslissing "
"1516/0706","Katrien V.","Niet-registratiebeslissing "
"1516/0706","Katrien V.","Vermoeden van vergunning "
"1516/0706","Katrien V.","Niet-conforme uitvoering voor inwerkingtreding gewestplan "
"1516/0706","Katrien V.","Weerlegbaar vermoeden "
"1516/0706","Katrien V.","Begrip anoniem bezwaarschrift (navigator) "
"1516/0706","Katrien V.","Bevoegdheid RvVb"
"1617/0001","Mieke","AfstandOpheffing schorsing"
"1617/0813","Sacha","Afstand"
"1718/0009","Annelore","AfstandOpheffing schorsing"
"1516/0272","Sofie","Samenhangend met 1617/0181 (nagelezen door Michelle)Art. 4.8.11, §1, eerste lid, 3° VCRO"
"1516/0272","Sofie"," Ontvankelijkheid "
"1516/0272","Sofie","Belang "
"1516/0272","Sofie","Derde-belanghebbende"
"1516/0272","Sofie","  Actueel belang en verlies van belang "
"1516/0272","Sofie"," Verkavelingswijziging"
"1516/0272","Sofie"," Aanvechten verkavelingsvergunning zonder bepaalde stedenbouwkundige vergunning aan te vechten "
"1516/0272","Sofie","stedenbouwkundige vergunning (van bepaalde loten ) definitief verleend "
"1516/0272","Sofie","onontvankelijk "
"1516/0272","Sofie","administratief beroep laattijdig"
"1516/0350","Sacha","OngegrondHerstelbeslissing "
"1516/0350","Sacha","Weigeringsbeslissing regularisatie weekendverblijf "
"1516/0350","Sacha","Voorschriften verkavelingsvergunning vs PRUP "
"1516/0350","Sacha","Begrip ‘totale vloeroppervlakte’ (navigator) "
"1516/0350","Sacha","Aantal bouwlagen "
"1516/0350","Sacha","Gezag van gewijsdeDeterminerend weigeringsmotief "
"1516/0350","Sacha","Overtollige motieven"
"1516/0485","Claire","TussenarrestVerkavelingswijziging "
"1516/0485","Claire","Vraag naar actueel belang "
"1516/0485","Claire","Inmiddels stedenbouwkundige vergunningen verleend "
"1516/0485","Claire","Administratief beroep aangetekend "
"1516/0485","Claire","Betwisting aanplakking "
"1516/0485","Claire","Beroep afwachten"
"1516/0504","Katrien V.","OngegrondExceptie Vlaams-Brabant Bestaanbaarheid uitbreiding handelspand met woongebied "
"1516/0504","Katrien V.","Onmiddellijke omgeving vs. goede RO (navigator) "
"1516/0504","Katrien V.","Geen discretionaire bevoegdheid "
"1516/0504","Katrien V.","Opportuniteitskritiek "
"1516/0504","Katrien V.","Goede RO "
"1516/0504","Katrien V.","Afdoende beoordeeld Geen wijziging buurtweg "
"1516/0504","Katrien V.","Middel mist feitelijke grondslag"
"1516/0631","Tariq","VernietigingVerkoopsruimte in agrarische gebied "
"1516/0631","Tariq","Betwisting belang "
"1516/0631","Tariq","Hinder en nadelen "
"1516/0631","Tariq","Omwonenden "
"1516/0631","Tariq","Geluidshinder en mobiliteitsimpact Belang bij het middel "
"1516/0631","Tariq","Voorwerp vergunning "
"1516/0631","Tariq","Tuincentrum "
"1516/0631","Tariq","Aard en activiteiten van het bedrijf "
"1516/0631","Tariq","Commerciële activiteiten (navigator)"
"1617/0181","Sofie","Art. 4.8.2 VCRO "
"1617/0181","Sofie","Onontvankelijkheidsbeslissing "
"1617/0181","Sofie","Aanvechtbare vergunningsbeslissing "
"1617/0181","Sofie","Geen loutere opportuniteitskritiek "
"1617/0181","Sofie","Exceptie verworpenArt. 15,4° PB "
"1617/0181","Sofie"," Rechtszekerheidsbeginsel "
"1617/0181","Sofie","Geen voldoende omschrijving van dit middelenonderdeel "
"1617/0181","Sofie","OnontvankelijkRegelgeving administratief beroep "
"1617/0181","Sofie","Ontvankelijkheid van het beroep "
"1617/0181","Sofie","Tijdigheid van het beroep "
"1617/0181","Sofie","Art. 4.7.19, §2 en 4.7.21, §3 VCRO"
"1617/0181","Sofie","  Derden-belanghebbende : attest van aanplakking "
"1617/0181","Sofie","Plaats van aanplakking "
"1617/0181","Sofie","Regelmatigheid van de aanplakking "
"1617/0181","Sofie","Bewijslast bij de verzoekende partij "
"1617/0181","Sofie","verzoekende partij bewijst niet dat aanplakking niet voldoende zichtbaar was [Navigator] "
"1617/0181","Sofie","BB  afdoende gemotiveerd "
"1617/0181","Sofie","niet kennelijk onzorgvuldig"
"1516/0289","Saartje","OnontvankelijkGebrek aan actueel belang "
