"Nr_Arrest","naam","new_tags"
"1516/0366","Annelore","Vernietiging "
"1516/0366","Annelore","Vervanging terras"
"1516/0366","Annelore","Motiveringsplicht"
"1516/0366","Annelore","Hoofdzakelijk vergund karakter"
"1516/0366","Annelore","Bezwaar niet afdoende beantwoord (zeer streng beoordeeld)"
"1516/0546","Mieke","Afstand "
"1516/0546","Mieke","Opheffing schorsing"
"1516/0651","Sacha","Ongegrond"
"1516/0651","Sacha","Afstand tussenkomst"
"1516/0651","Sacha","Vordering CBS"
"1516/0651","Sacha","Bijzondere procedure"
"1516/0651","Sacha","Tijdig advies"
"1516/0651","Sacha","Aardgasleiding"
"1516/0651","Sacha","Artikel 3, §2 "
"1516/0651","Sacha","Besluit 5 mei 2000"
"1516/0651","Sacha","Algemeen belang"
"1516/0651","Sacha","Bedrijventerrein (navigator)"
"1516/0651","Sacha","Beoordeling goede RO"
"1516/0651","Sacha","Alternatievenonderzoek"
"1516/0651","Sacha","Opportuniteitskritiek"
"1516/0651","Sacha","Motivering afdoende"
"1516/0689","Katrien V.","Vernietiging"
"1516/0689","Katrien V.","Beperkte planaanpassing"
"1516/0689","Katrien V.","Wijziging terrassen"
"1516/0689","Katrien V.","Rechten van derden"
"1516/0689","Katrien V.","PSA-verslag"
"1516/0689","Katrien V.","Leemte in aanvraagdossier "
"1516/0689","Katrien V.","Goede RO"
"1516/0689","Katrien V.","Afwijkend gabariet"
"1516/0689","Katrien V.","Andersluidend PSA-verslag"
"1516/0689","Katrien V.","Reliëf"
"1516/0689","Katrien V.","Niet afdoende onderzocht"
"1516/0704","Sacha","Vernietiging"
"1516/0704","Sacha","Verkavelingsvergunning"
"1516/0704","Sacha","Private vs. publieke wegenis"
"1516/0704","Sacha","Beslissing gemeenteraad vereist (navigator)"
"1516/0704","Sacha","Voorschriften te algemeen (navigator)"
"1516/0704","Sacha","Beeldkwaliteitsplan niet verordenend "
"1516/0704","Sacha","Nieuw PSA-verslag niet ter kennis gebracht"
"1516/0704","Sacha","Belang bij het middel in hoofde van CBS"
"1516/0704","Sacha","Hoorplicht"
"1516/0706","Katrien V.","Vernietiging"
"1516/0706","Katrien V.","Weigeringsbeslissing"
"1516/0706","Katrien V.","Niet-registratiebeslissing"
"1516/0706","Katrien V.","Vermoeden van vergunning"
"1516/0706","Katrien V.","Niet-conforme uitvoering voor inwerkingtreding gewestplan"
"1516/0706","Katrien V.","Weerlegbaar vermoeden"
"1516/0706","Katrien V.","Begrip anoniem bezwaarschrift (navigator)"
"1516/0706","Katrien V.","Bevoegdheid "
"1516/0706","Katrien V.","Rv"
"1516/0706","Katrien V.","Vb"
"1617/0001","Mieke","Afstand"
"1617/0001","Mieke","Opheffing schorsing"
"1617/0813","Sacha","Afstand"
"1718/0009","Annelore","Afstand"
"1718/0009","Annelore","Opheffing schorsing"
"1516/0272","Sofie","Samenhangend met 1617/0181 (nagelezen door "
"1516/0272","Sofie","Michelle)"
"1516/0272","Sofie","Art. 4.8.11, §1, eerste lid, 3° VCRO"
"1516/0272","Sofie","Ontvankelijkheid"
"1516/0272","Sofie","Belang"
"1516/0272","Sofie","Derde-belanghebbende"
"1516/0272","Sofie","Actueel belang en verlies van belang"
"1516/0272","Sofie","Verkavelingswijziging"
"1516/0272","Sofie","Aanvechten verkavelingsvergunning zonder bepaalde stedenbouwkundige vergunning aan te vechten"
"1516/0272","Sofie","stedenbouwkundige vergunning (van bepaalde loten ) definitief verleend"
"1516/0272","Sofie","onontvankelijk"
"1516/0272","Sofie","administratief beroep laattijdig"
"1516/0350","Sacha","Ongegrond"
"1516/0350","Sacha","Herstelbeslissing"
"1516/0350","Sacha","Weigeringsbeslissing regularisatie weekendverblijf"
"1516/0350","Sacha","Voorschriften verkavelingsvergunning vs PRUP"
"1516/0350","Sacha","Begrip ‘totale vloeroppervlakte’ (navigator)"
"1516/0350","Sacha","Aantal bouwlagen"
"1516/0350","Sacha","Gezag van gewijsde"
"1516/0350","Sacha","Determinerend weigeringsmotief"
"1516/0350","Sacha","Overtollige motieven"
"1516/0485","Claire","Tussenarrest"
"1516/0485","Claire","Verkavelingswijziging"
"1516/0485","Claire","Vraag naar actueel belang"
"1516/0485","Claire","Inmiddels stedenbouwkundige vergunningen verleend"
"1516/0485","Claire","Administratief beroep aangetekend"
