"new_tags","Nr_Arrest"
"vernietiging","1516/0366"
"formele motiveringsplicht","1516/0366"
"afstand van geding","1516/0546"
"ongegrond","1516/0651"
"loutere opportuniteitskritiek","1516/0651"
"vernietiging","1516/0689"
"planaanpassing","1516/0689"
"andersluidend psaverslag","1516/0689"
"vernietiging","1516/0704"
"verkavelingsvergunningsplicht","1516/0704"
"vernietiging","1516/0706"
"vermoeden van vergunning","1516/0706"
"bevoegdheid","1516/0706"
"vertrouwensbeginsel","1516/0706"
"afstand van geding","1617/0001"
"afstand van geding","1617/0813"
"afstand van geding","1718/0009"
"derdebelanghebbende belanghebbende derde","1516/0272"
"onontvankelijk","1516/0272"
"ongegrond","1516/0350"
"herstelbeslissing","1516/0350"
"gezag van gewijsde","1516/0350"
"tussenarrest","1516/0485"
"ongegrond","1516/0504"
"excepties","1516/0504"
"gro","1516/0504"
"loutere opportuniteitskritiek","1516/0504"
"vernietiging","1516/0631"
"belang bij het middel","1516/0631"
"onontvankelijk","1617/0181"
"exceptie onontvankelijk","1617/0181"
"onontvankelijk","1516/0289"
"vernietiging","1516/0503"
"herstelbeslissing","1516/0503"
"andersluidend psaverslag","1516/0503"
"gezag van gewijsde","1516/0503"
"beleidsmatig gewenste ontwikkeling","1516/0503"
"vernietiging","1516/0538"
"onontvankelijk","1516/0538"
"vernietiging","1516/0552"
"onontvankelijk","1516/0552"
"onontvankelijk","1516/0592"
"vernietiging","1516/0175"
"verzaking aan de vergunning","1516/0175"
"vernietiging","1516/0595"
"habitattoets","1516/0595"
"stelplicht","1516/0595"
"onontvankelijk","1516/0610"
"ongegrond","1516/0623"
"burgerlijke rechten","1516/0623"
"watertoets","1516/0623"
"middel afdoende duidelijk","1516/0623"
"loutere opportuniteitskritiek","1516/0623"
"afstand van geding","1617/0235"
"vernietiging","1617/0360"
"verzaking aan de vergunning","1617/0360"
"vernietiging verworpen","1617/0800"
"vernietiging verworpen","1617/0872"
"vernietiging","1516/0434"
"ontvankelijkheid tussenkomst","1516/0434"
"excepties","1516/0434"
"ongegrond","1516/0556"
"formele motiveringsplicht","1516/0556"
"onontvankelijk","1516/0599"
"afstand van geding","1617/0137"
"afstand van geding","1617/0164"
"vernietiging verworpen","1617/0817"
"loutere opportuniteitskritiek","1617/0817"
"onmiddellijke omgeving","1617/0817"
"bevoegdheid","1617/0817"
"vertrouwensbeginsel","1617/0817"
"burgerlijke rechten","1617/0817"
"ongegrond","1516/0418"
"merscreening","1516/0418"
"omzendbrief","1516/0418"
"loutere opportuniteitskritiek","1516/0418"
"formele motiveringsplicht","1516/0418"
"ongegrond","1516/0424"
"merscreening","1516/0424"
"omzendbrief","1516/0424"
"loutere opportuniteitskritiek","1516/0424"
"formele motiveringsplicht","1516/0424"
"ongegrond","1516/0455"
"merscreening","1516/0455"
"ontvankelijkheid middel","1516/0455"
"omzendbrief","1516/0455"
"loutere opportuniteitskritiek","1516/0455"
"formele motiveringsplicht","1516/0455"
"belang bij het middel","1516/0455"
"gro","1516/0455"
"afstand van geding","1415/0505"
"kosten","1415/0505"
"regelmatigheid van de rechtspleging","1415/0644"
"uit de debatten geweerd","1415/0644"
"dossiersamenstelling","1415/0644"
"onontvankelijk","1415/0640"
"vernietiging","1415/0769"
"exceptie onontvankelijk","1415/0769"
"onontvankelijk","1516/0027"
"geen wettigheidskritiek","1516/0027"
"excepties","1516/0027"
"exceptie onontvankelijk","1516/0027"
"gro","1516/0027"
"onontvankelijk","1516/0040"
"geen wettigheidskritiek","1516/0040"
"excepties","1516/0040"
"exceptie onontvankelijk","1516/0040"
"gro","1516/0040"
"loutere opportuniteitskritiek","1516/0040"
"ongegrond","1415/0642"
"ontvankelijk","1415/0642"
"onontvankelijk","1516/0131"
"ongegrond","1516/0134"
"uit de debatten geweerd","1516/0134"
"vernietiging","1516/0134"
"exceptie onontvankelijk","1516/0134"
"onontvankelijk","1516/0134"
"vernietiging","1415/0707"
"uit de debatten geweerd","1415/0707"
"belang bij het middel","1415/0707"
"planaanpassing","1415/0707"
"niet kennelijk onredelijk","1415/0707"
"gro","1415/0707"
"kosten","1617/0337"
"vernietiging","1617/0307"
"vertrouwensbeginsel","1617/0307"
"vernietiging","1617/0197"
"vertrouwensbeginsel","1617/0197"
"vertrouwensbeginsel","1516/0834"
"bevoegdheid raad","1415/0757"
"excepties","1415/0757"
"devolutieve werking","1415/0757"
"visuele hinder","1415/0046"
"exceptie onontvankelijk","1415/0046"
"vertrouwensbeginsel","1415/0046"
"kosten","1516/0126"
"verzaking aan de vergunning","1516/0338"
"afstand van geding","1617/0816"
"vertrouwensbeginsel","1415/0466"
"verkavelingsvergunningsplicht","1415/0484"
"verzaking aan de vergunning","1415/0484"
"exceptie onontvankelijk","1516/0633"
"belang bij het middel","1516/0633"
"ongegrond","1516/0719"
"belang bij het middel","1516/0719"
"exceptie onontvankelijk","1516/0719"
"geen wettigheidskritiek","1516/0719"
"burgerlijke rechten","1516/0719"
"afstand van geding","1617/0394"
"kosten","1617/0394"
"afstand van geding","1617/0551"
"afstand van geding","1516/0618"
"kosten","1516/0618"
"ongegrond","1516/0210"
"ongegrond","1516/0613"
"derdebelanghebbende belanghebbende derde","1516/0613"
"exceptie onontvankelijk","1516/0613"
"onontvankelijk","1516/0613"
"vertrouwensbeginsel","1516/0613"
"onontvankelijk","1415/0698"
"onontvankelijk","1415/0702"
"kosten","1415.0725"
"formele motiveringsplicht","1516/0409"
"niet kennelijk onredelijk","1516/0409"
"andersluidend psaverslag","1516/0409"
"ongegrond","1516/0463"
"habitattoets","1516/0463"
"ongegrond","1516/0718"
"herstelbeslissing","1516/0718"
"exceptie onontvankelijk","1415/0760"
"ongegrond","1415/0755"
"geen wettigheidskritiek","1415/0755"
